,Sale_id,Sale_date,Country,Region,City,Product_name,Category,Storage,Color,Is_5g,Unit_price_usd,Discount_pct,Units_sold,Discounted_price_usd,Fx_rate_to_usd,Revenue_local_currency,Sales_channel,Payment_method,Customer_segment,Customer_age_group,Previous_device_os,Customer_rating,Return_status,Revenue_before_discount,Revenue_after_discount,Total_price_product,Price_range,Integer_part,Revenue_usd_currency
10,SAMS-00000011,17-06-2022,Argentina,South America,Buenos Aires,Samsung Galaxy S22,Galaxy S,256 GB,Graph,Yes,682.46,5,3,648.34,907.0,1764133.14,E-commerce Platform,Samsung Pay,Business,35–44,New User,Nil,Kept,2047.38,1945.02,2047.38,Upper Mid-range,1764133,1945.02 ARS
11,SAMS-00000012,29-06-2022,Argentina,South America,Buenos Aires,Samsung Galaxy Tab S9+,Galaxy Tab,64 GB,Graphite,No,1010.0,0,3,1010.0,907.0,2748210.0,Carrier Store,EMI / Installment,Enterprise,35–44,Nil,4.1,Kept,3030.0,3030.0,3030.0,Premium,2748210,3030.0 ARS
12,SAMS-00000013,11-07-2022,Argentina,South America,Buenos Aires,Samsung 11kg Washer-Dryer Combo,Appliances,Nil,White,No,1172.91,7,1,1090.81,907.0,989364.67,E-commerce Platform,Net Banking,Business,25–34,Nil,4.9,Kept,1172.91,1090.81,1172.91,Premium,989364,1090.81 ARS
13,SAMS-00000014,17-07-2022,Argentina,South America,Buenos Aires,Samsung Galaxy S22,Galaxy S,512 GB,Phantom Black,Yes,654.34,15,1,556.19,907.0,504464.33,Corporate / B2B,BNPL (Buy Now Pay Later),Government,25–34,New User,4.6,Kept,654.34,556.19,654.34,Upper Mid-range,504464,556.19 ARS
14,SAMS-00000015,28-07-2022,Argentina,South America,Buenos Aires,Samsung Galaxy M14 5G,Galaxy M,64 GB,Icy Blue,Yes,172.9,7,1,160.8,907.0,145845.6,E-commerce Platform,Net Banking,Business,18–24,New User,4.3,Kept,172.9,160.8,172.9,Mid-range,145845,160.8 ARS
15,SAMS-00000016,06-08-2022,Argentina,South America,Buenos Aires,Samsung 32GB MicroSD Card,Accessories,Nil,Black,No,8.87,12,5,7.81,907.0,35418.35,Carrier Store,Debit Card,Enterprise,35–44,Nil,3.0,Kept,44.349999999999994,39.05,44.349999999999994,Budget,35418,39.05 ARS
16,SAMS-00000017,27-09-2022,Argentina,South America,Buenos Aires,Samsung Galaxy S24+,Galaxy S,128 GB,Titanium Yellow,Yes,1041.21,12,7,916.26,907.0,5817334.74,Online (Samsung.com),Gift Card,Education,25–34,Android (Samsung),Nil,Kept,7288.47,6413.82,7288.47,Premium,5817334,6413.82 ARS
17,SAMS-00000018,28-09-2022,Argentina,South America,Buenos Aires,Samsung Galaxy Buds Live,Galaxy Buds,Nil,White,No,142.14,0,5,142.14,907.0,644604.9,E-commerce Platform,Samsung Pay,Enterprise,35–44,Nil,Nil,Kept,710.6999999999999,710.6999999999999,710.6999999999999,Mid-range,644604,710.7 ARS
18,SAMS-00000019,19-12-2022,Argentina,South America,Buenos Aires,Samsung The Frame 55-inch,Smart TV,Nil,Black,No,1278.78,0,2,1278.78,907.0,2319706.92,Corporate / B2B,Debit Card,Individual,18–24,Nil,4.7,Returned,2557.56,2557.56,2557.56,Premium,2319706,2557.56 ARS
19,SAMS-00000020,21-12-2022,Argentina,South America,Buenos Aires,Samsung Galaxy S21 FE,Galaxy S,1 TB,Green,No,491.19,0,2,491.19,907.0,891018.66,Samsung Store,EMI / Installment,Government,18–24,New User,3.3,Kept,982.38,982.38,982.38,Mid-range,891018,982.38 ARS
20,SAMS-00000021,31-01-2023,Argentina,South America,Buenos Aires,Samsung Galaxy Buds FE,Galaxy Buds,Nil,Bora Purple,No,96.56,20,1,77.25,907.0,70065.75,Authorized Reseller,Cash,Government,45–54,Nil,4.6,Kept,96.56,77.25,96.56,Budget,70065,77.25 ARS
21,SAMS-00000022,27-02-2023,Argentina,South America,Buenos Aires,Samsung ViewFinity S9,Monitor,Nil,Black,No,1413.28,7,4,1314.35,907.0,4768461.8,Corporate / B2B,BNPL (Buy Now Pay Later),Individual,18–24,Nil,3.2,Kept,5653.12,5257.4,5653.12,Premium,4768461,5257.4 ARS
22,SAMS-00000023,06-04-2023,Argentina,South America,Buenos Aires,Samsung Galaxy S24+,Galaxy S,256 GB,Titanium Yellow,Yes,959.63,0,2,959.63,907.0,1740768.82,Authorized Reseller,Credit Card,Education,18–24,New User,3.3,Kept,1919.26,1919.26,1919.26,Upper Mid-range,1740768,1919.26 ARS
23,SAMS-00000024,26-04-2023,Argentina,South America,Buenos Aires,Samsung OLED S95C 65-inch,Smart TV,Nil,White,No,2557.32,0,5,2557.32,907.0,11597446.2,Samsung Store,EMI / Installment,Enterprise,18–24,Nil,4.6,Kept,12786.6,12786.6,12786.6,Premium,11597446,12786.6 ARS
24,SAMS-00000025,12-06-2023,Argentina,South America,Buenos Aires,Samsung Galaxy S23 FE,Galaxy S,512 GB,Phantom Black,Yes,586.36,10,2,527.72,907.0,957284.08,Authorized Reseller,Credit Card,Government,35–44,Feature Phone,3.6,Kept,1172.72,1055.44,1172.72,Upper Mid-range,957284,1055.44 ARS
25,SAMS-00000026,09-07-2023,Argentina,South America,Buenos Aires,Samsung M8 4K Smart Monitor,Monitor,Nil,White,No,660.07,15,1,561.06,907.0,508881.42,Authorized Reseller,Cash,Individual,55+,Nil,2.9,Kept,660.07,561.06,660.07,Upper Mid-range,508881,561.06 ARS
26,SAMS-00000027,12-07-2023,Argentina,South America,Buenos Aires,Samsung T7 Shield 1TB SSD,Accessories,Nil,Navy,No,100.47,0,1,100.47,907.0,91126.29,Samsung Store,Cash,Individual,25–34,Nil,2.8,Kept,100.47,100.47,100.47,Mid-range,91126,100.47 ARS
27,SAMS-00000028,16-09-2023,Argentina,South America,Buenos Aires,Samsung 25W USB-C Adapter,Accessories,Nil,Blue,No,26.75,15,2,22.74,907.0,41250.36,Corporate / B2B,Credit Card,Government,25–34,Nil,Nil,Kept,53.5,45.48,53.5,Budget,41250,45.48 ARS
28,SAMS-00000029,05-11-2023,Argentina,South America,Buenos Aires,Samsung Galaxy Watch 4 Classic,Galaxy Watch,Nil,Gold,No,256.44,0,2,256.44,907.0,465182.16,Third-Party Retailer,EMI / Installment,Enterprise,35–44,Nil,4.8,Kept,512.88,512.88,512.88,Mid-range,465182,512.88 ARS
29,SAMS-00000030,27-11-2023,Argentina,South America,Buenos Aires,Samsung Odyssey Neo G9,Monitor,Nil,White,No,1469.07,10,1,1322.16,907.0,1199199.12,Online (Samsung.com),BNPL (Buy Now Pay Later),Education,25–34,Nil,4.1,Kept,1469.07,1322.16,1469.07,Premium,1199199,1322.16 ARS
30,SAMS-00000031,28-12-2023,Argentina,South America,Buenos Aires,Samsung Galaxy Z Flip 3,Galaxy Z,512 GB,Blue,Yes,675.07,7,3,627.82,907.0,1708298.22,Online (Samsung.com),Samsung Pay,Education,45–54,Android (Other),3.1,Kept,2025.21,1883.46,2025.21,Upper Mid-range,1708298,1883.46 ARS
31,SAMS-00000032,29-12-2023,Argentina,South America,Buenos Aires,Samsung Wireless Charger Pad,Accessories,Nil,White,No,51.82,10,5,46.64,907.0,211512.4,Samsung Store,Gift Card,Business,35–44,Nil,4.9,Kept,259.1,233.2,259.1,Budget,211512,233.2 ARS
32,SAMS-00000033,30-12-2023,Argentina,South America,Buenos Aires,Samsung Smart Tag 2,Accessories,Nil,Blue,No,29.18,7,2,27.14,907.0,49231.96,Samsung Store,Cash,Enterprise,55+,Nil,Nil,Kept,58.36,54.28,58.36,Budget,49231,54.28 ARS
33,SAMS-00000034,22-02-2024,Argentina,South America,Buenos Aires,Samsung Galaxy Tab S9,Galaxy Tab,64 GB,Silver,No,802.92,0,1,802.92,907.0,728248.44,Online (Samsung.com),Debit Card,Government,55+,Nil,4.2,Kept,802.92,802.92,802.92,Upper Mid-range,728248,802.92 ARS
34,SAMS-00000035,29-02-2024,Argentina,South America,Buenos Aires,Samsung Neo QLED 8K QN900C,Smart TV,Nil,White,No,4682.67,10,4,4214.4,907.0,15289843.2,Third-Party Retailer,Gift Card,Individual,18–24,Nil,2.5,Kept,18730.68,16857.6,18730.68,Premium,15289843,16857.6 ARS
35,SAMS-00000036,02-04-2024,Argentina,South America,Buenos Aires,Samsung Galaxy S22+,Galaxy S,256 GB,Lime,Yes,866.7,20,4,693.36,907.0,2515510.08,Samsung Store,Net Banking,Enterprise,25–34,Feature Phone,4.2,Kept,3466.8,2773.44,3466.8,Upper Mid-range,2515510,2773.44 ARS
36,SAMS-00000037,04-04-2024,Argentina,South America,Buenos Aires,Samsung WindFree AC 1.5 Ton,Appliances,Nil,Black,No,729.38,10,10,656.44,907.0,5953910.8,E-commerce Platform,Credit Card,Government,35–44,Nil,4.2,Kept,7293.8,6564.400000000001,7293.8,Upper Mid-range,5953910,6564.4 ARS
37,SAMS-00000038,11-04-2024,Argentina,South America,Buenos Aires,Samsung Galaxy Watch 4,Galaxy Watch,Nil,Graphite,No,186.65,0,3,186.65,907.0,507874.65,Samsung Store,BNPL (Buy Now Pay Later),Government,35–44,Nil,4.7,Returned,559.95,559.95,559.95,Mid-range,507874,559.95 ARS
38,SAMS-00000039,08-06-2024,Argentina,South America,Buenos Aires,Samsung Galaxy Watch 5 Pro,Galaxy Watch,Nil,Silver,No,370.81,0,1,370.81,907.0,336324.67,Carrier Store,Gift Card,Government,35–44,Nil,Nil,Kept,370.81,370.81,370.81,Mid-range,336324,370.81 ARS
39,SAMS-00000040,01-07-2024,Argentina,South America,Buenos Aires,Samsung Crystal UHD 43-inch,Smart TV,Nil,White,No,520.1,0,3,520.1,907.0,1415192.1,Corporate / B2B,Debit Card,Business,45–54,Nil,3.4,Returned,1560.3000000000002,1560.3000000000002,1560.3000000000002,Upper Mid-range,1415192,1560.3 ARS
40,SAMS-00000041,15-07-2024,Argentina,South America,Buenos Aires,Samsung Galaxy Buds Live,Galaxy Buds,Nil,Graphite,No,141.28,0,3,141.28,907.0,384422.88,Corporate / B2B,Samsung Pay,Government,18–24,Nil,3.9,Kept,423.84000000000003,423.84000000000003,423.84000000000003,Mid-range,384422,423.84 ARS
41,SAMS-00000042,24-07-2024,Argentina,South America,Buenos Aires,Samsung Galaxy Z Flip 3,Galaxy Z,256 GB,Green,Yes,688.13,2,1,674.37,907.0,611653.59,Corporate / B2B,Credit Card,Government,25–34,Android (Samsung),3.9,Kept,688.13,674.37,688.13,Upper Mid-range,611653,674.37 ARS
42,SAMS-00000043,22-01-2021,Argentina,South America,Córdoba,Samsung Galaxy S23,Galaxy S,1 TB,Lime,Yes,822.41,12,1,723.72,907.0,656414.04,Third-Party Retailer,Gift Card,Enterprise,35–44,iOS,4.6,Exchanged,822.41,723.72,822.41,Upper Mid-range,656414,723.72 ARS
43,SAMS-00000044,11-03-2021,Argentina,South America,Córdoba,Samsung The Frame 55-inch,Smart TV,Nil,Black,No,1250.45,2,1,1225.44,907.0,1111474.08,Third-Party Retailer,Cash,Business,55+,Nil,4.9,Kept,1250.45,1225.44,1250.45,Premium,1111474,1225.44 ARS
44,SAMS-00000045,24-03-2021,Argentina,South America,Córdoba,Samsung Odyssey Neo G9,Monitor,Nil,White,No,1624.95,15,1,1381.21,907.0,1252757.47,E-commerce Platform,Debit Card,Business,35–44,Nil,4.1,Kept,1624.95,1381.21,1624.95,Premium,1252757,1381.21 ARS
45,SAMS-00000046,01-08-2021,Argentina,South America,Córdoba,Samsung T7 Shield 1TB SSD,Accessories,Nil,Silver,No,90.57,0,1,90.57,907.0,82146.99,Corporate / B2B,Credit Card,Enterprise,18–24,Nil,2.5,Returned,90.57,90.57,90.57,Budget,82146,90.57 ARS
46,SAMS-00000047,10-08-2021,Argentina,South America,Córdoba,Samsung Galaxy S23,Galaxy S,512 GB,Phantom White,Yes,780.1,0,1,780.1,907.0,707550.7,Online (Samsung.com),Samsung Pay,Individual,25–34,iOS,Nil,Kept,780.1,780.1,780.1,Upper Mid-range,707550,780.1 ARS
47,SAMS-00000048,05-09-2021,Argentina,South America,Córdoba,Samsung Galaxy A33 5G,Galaxy A,128 GB,Awesome Violet,Yes,326.88,2,1,320.34,907.0,290548.38,Online (Samsung.com),Samsung Pay,Individual,25–34,Android (Other),4.1,Kept,326.88,320.34,326.88,Mid-range,290548,320.34 ARS
48,SAMS-00000049,03-10-2021,Argentina,South America,Córdoba,Samsung 25L Microwave,Appliances,Nil,Black,No,216.21,7,1,201.08,907.0,182379.56,Authorized Reseller,Debit Card,Business,45–54,Nil,Nil,Kept,216.21,201.08,216.21,Mid-range,182379,201.08 ARS
49,SAMS-00000050,22-10-2021,Argentina,South America,Córdoba,Samsung Galaxy A14,Galaxy A,128 GB,Awesome Black,No,159.03,3,1,154.26,907.0,139913.82,Corporate / B2B,Credit Card,Business,45–54,Android (Other),2.7,Kept,159.03,154.26,159.03,Mid-range,139913,154.26 ARS
50,SAMS-00000051,06-12-2021,Argentina,South America,Córdoba,Samsung Galaxy Buds 2,Galaxy Buds,Nil,White,No,148.35,20,4,118.68,907.0,430571.04,Authorized Reseller,BNPL (Buy Now Pay Later),Business,25–34,Nil,4.0,Kept,593.4,474.72,593.4,Mid-range,430571,474.72 ARS
51,SAMS-00000052,27-01-2022,Argentina,South America,Córdoba,Samsung Galaxy Buds Live,Galaxy Buds,Nil,Lime,No,149.9,0,5,149.9,907.0,679796.5,Samsung Store,BNPL (Buy Now Pay Later),Enterprise,25–34,Nil,4.2,Kept,749.5,749.5,749.5,Mid-range,679796,749.5 ARS
52,SAMS-00000053,19-03-2022,Argentina,South America,Córdoba,Samsung Galaxy Z Flip 5,Galaxy Z,256 GB,Blue,Yes,1008.61,0,1,1008.61,907.0,914809.27,Third-Party Retailer,EMI / Installment,Individual,35–44,Android (Other),Nil,Kept,1008.61,1008.61,1008.61,Premium,914809,1008.61 ARS
53,SAMS-00000054,04-04-2022,Argentina,South America,Córdoba,Samsung Galaxy A53 5G,Galaxy A,64 GB,Awesome Violet,Yes,402.83,12,1,354.49,907.0,321522.43,Authorized Reseller,Credit Card,Government,25–34,New User,Nil,Kept,402.83,354.49,402.83,Mid-range,321522,354.49 ARS
54,SAMS-00000055,01-05-2022,Argentina,South America,Córdoba,Samsung Galaxy Z Flip 4,Galaxy Z,1 TB,Lavender,Yes,923.95,2,2,905.47,907.0,1642522.58,Carrier Store,EMI / Installment,Education,18–24,Android (Other),3.3,Kept,1847.9,1810.94,1847.9,Upper Mid-range,1642522,1810.94 ARS
55,SAMS-00000056,12-05-2022,Argentina,South America,Córdoba,Samsung Galaxy A04s,Galaxy A,256 GB,Awesome Violet,No,136.48,2,1,133.75,907.0,121311.25,E-commerce Platform,Net Banking,Enterprise,18–24,Feature Phone,4.8,Kept,136.48,133.75,136.48,Mid-range,121311,133.75 ARS
56,SAMS-00000057,19-05-2022,Argentina,South America,Córdoba,Samsung Galaxy Buds 2,Galaxy Buds,Nil,Lime,No,140.61,0,1,140.61,907.0,127533.27,Corporate / B2B,Debit Card,Government,45–54,Nil,Nil,Kept,140.61,140.61,140.61,Mid-range,127533,140.61 ARS
57,SAMS-00000058,31-05-2022,Argentina,South America,Córdoba,Samsung Galaxy M54 5G,Galaxy M,128 GB,Dark Blue,Yes,320.31,7,1,297.89,907.0,270186.23,Corporate / B2B,Gift Card,Education,45–54,Feature Phone,4.7,Kept,320.31,297.89,320.31,Mid-range,270186,297.89 ARS
58,SAMS-00000059,07-07-2022,Argentina,South America,Córdoba,Samsung Neo QLED 4K QN85C,Smart TV,Nil,White,No,1838.52,12,3,1617.9,907.0,4402305.9,E-commerce Platform,Samsung Pay,Education,18–24,Nil,Nil,Kept,5515.5599999999995,4853.700000000001,5515.5599999999995,Premium,4402305,4853.7 ARS
59,SAMS-00000060,25-07-2022,Argentina,South America,Córdoba,Samsung T7 Shield 1TB SSD,Accessories,Nil,Navy,No,95.76,20,3,76.61,907.0,208455.81,Third-Party Retailer,Gift Card,Business,35–44,Nil,4.8,Kept,287.28000000000003,229.82999999999998,287.28000000000003,Budget,208455,229.83 ARS
60,SAMS-00000061,19-02-2023,Argentina,South America,Córdoba,Samsung Galaxy A34 5G,Galaxy A,64 GB,Awesome Black,Yes,376.7,20,2,301.36,907.0,546667.04,Authorized Reseller,Samsung Pay,Education,35–44,Feature Phone,4.4,Kept,753.4,602.72,753.4,Mid-range,546667,602.72 ARS
61,SAMS-00000062,24-02-2023,Argentina,South America,Córdoba,Samsung Galaxy Buds FE,Galaxy Buds,Nil,Cream,No,95.82,12,1,84.32,907.0,76478.24,E-commerce Platform,Net Banking,Enterprise,55+,Nil,Nil,Kept,95.82,84.32,95.82,Budget,76478,84.32 ARS
62,SAMS-00000063,17-04-2023,Argentina,South America,Córdoba,Samsung Galaxy M14 5G,Galaxy M,256 GB,Prism Black,Yes,184.28,10,1,165.85,907.0,150425.95,Third-Party Retailer,Cash,Education,55+,New User,3.0,Kept,184.28,165.85,184.28,Mid-range,150425,165.85 ARS
63,SAMS-00000064,19-04-2023,Argentina,South America,Córdoba,Samsung Galaxy Tab S9+,Galaxy Tab,128 GB,Lime,No,1018.78,2,1,998.4,907.0,905548.8,Authorized Reseller,BNPL (Buy Now Pay Later),Business,35–44,Nil,3.4,Exchanged,1018.78,998.4,1018.78,Premium,905548,998.4 ARS
64,SAMS-00000065,28-07-2023,Argentina,South America,Córdoba,Samsung Neo QLED 8K QN900C,Smart TV,Nil,White,No,4557.31,0,2,4557.31,907.0,8266960.34,Corporate / B2B,Debit Card,Government,35–44,Nil,Nil,Kept,9114.62,9114.62,9114.62,Premium,8266960,9114.62 ARS
65,SAMS-00000066,08-08-2023,Argentina,South America,Córdoba,Samsung Galaxy Z Fold 5,Galaxy Z,1 TB,Graphite,Yes,1707.94,7,1,1588.38,907.0,1440660.66,Carrier Store,BNPL (Buy Now Pay Later),Government,45–54,iOS,3.2,Kept,1707.94,1588.38,1707.94,Premium,1440660,1588.38 ARS
66,SAMS-00000067,19-08-2023,Argentina,South America,Córdoba,Samsung Galaxy Buds Live,Galaxy Buds,Nil,White,No,158.76,20,2,127.01,907.0,230396.14,Samsung Store,Cash,Government,55+,Nil,3.3,Kept,317.52,254.02,317.52,Mid-range,230396,254.02 ARS
67,SAMS-00000068,20-08-2023,Argentina,South America,Córdoba,Samsung Galaxy M14 5G,Galaxy M,128 GB,Waterfall Blue,Yes,182.46,0,5,182.46,907.0,827456.1,Carrier Store,Credit Card,Business,25–34,Android (Samsung),3.1,Kept,912.3000000000001,912.3000000000001,912.3000000000001,Mid-range,827456,912.3 ARS
68,SAMS-00000069,14-12-2023,Argentina,South America,Córdoba,Samsung S Pen (Galaxy S24 Ultra),Accessories,Nil,Navy,Yes,45.48,0,1,45.48,907.0,41250.36,Authorized Reseller,EMI / Installment,Government,25–34,Nil,4.4,Kept,45.48,45.48,45.48,Budget,41250,45.48 ARS
69,SAMS-00000070,12-01-2024,Argentina,South America,Córdoba,Samsung Galaxy A33 5G,Galaxy A,128 GB,Awesome White,Yes,333.0,7,1,309.69,907.0,280888.83,Corporate / B2B,Net Banking,Business,35–44,New User,Nil,Kept,333.0,309.69,333.0,Mid-range,280888,309.69 ARS
70,SAMS-00000071,23-04-2024,Argentina,South America,Córdoba,Samsung Wireless Charger Pad,Accessories,Nil,Blue,No,48.53,2,10,47.56,907.0,431369.2,Authorized Reseller,Credit Card,Individual,25–34,Nil,2.6,Kept,485.3,475.6,485.3,Budget,431369,475.6 ARS
71,SAMS-00000072,22-05-2024,Argentina,South America,Córdoba,Samsung Galaxy Tab A9+,Galaxy Tab,512 GB,Silver,No,359.72,0,3,359.72,907.0,978798.12,Carrier Store,Credit Card,Government,35–44,Nil,2.6,Kept,1079.16,1079.16,1079.16,Mid-range,978798,1079.16 ARS
72,SAMS-00000073,30-06-2024,Argentina,South America,Córdoba,Samsung Galaxy S22 Ultra,Galaxy S,256 GB,Titanium Black,Yes,1044.34,7,2,971.24,907.0,1761829.36,Online (Samsung.com),Debit Card,Business,35–44,iOS,Nil,Exchanged,2088.68,1942.48,2088.68,Premium,1761829,1942.48 ARS
73,SAMS-00000074,07-07-2024,Argentina,South America,Córdoba,Samsung Galaxy S23,Galaxy S,1 TB,Titanium Gray,Yes,740.36,0,1,740.36,907.0,671506.52,Online (Samsung.com),Net Banking,Government,45–54,Android (Other),Nil,Kept,740.36,740.36,740.36,Upper Mid-range,671506,740.36 ARS
74,SAMS-00000075,21-10-2024,Argentina,South America,Córdoba,Samsung Galaxy Z Flip 5,Galaxy Z,256 GB,Phantom Black,Yes,919.36,0,1,919.36,907.0,833859.52,Samsung Store,Cash,Business,18–24,Android (Samsung),3.8,Kept,919.36,919.36,919.36,Upper Mid-range,833859,919.36 ARS
75,SAMS-00000076,01-11-2024,Argentina,South America,Córdoba,Samsung Galaxy A04s,Galaxy A,64 GB,Awesome Peach,No,127.81,5,4,121.42,907.0,440511.76,Carrier Store,Cash,Government,35–44,Feature Phone,4.3,Kept,511.24,485.68,511.24,Mid-range,440511,485.68 ARS
76,SAMS-00000077,05-12-2024,Argentina,South America,Córdoba,Samsung Galaxy Watch 5,Galaxy Watch,Nil,Black,No,261.26,0,1,261.26,907.0,236962.82,Authorized Reseller,Cash,Enterprise,55+,Nil,4.9,Exchanged,261.26,261.26,261.26,Mid-range,236962,261.26 ARS
77,SAMS-00000078,17-12-2024,Argentina,South America,Córdoba,Samsung Galaxy Tab S9,Galaxy Tab,1 TB,Cream,No,863.02,0,1,863.02,907.0,782759.14,Authorized Reseller,Debit Card,Enterprise,45–54,Nil,2.7,Kept,863.02,863.02,863.02,Upper Mid-range,782759,863.02 ARS
78,SAMS-00000079,22-12-2024,Argentina,South America,Córdoba,Samsung 25W USB-C Adapter,Accessories,Nil,Silver,No,28.16,0,1,28.16,907.0,25541.12,Online (Samsung.com),Debit Card,Education,55+,Nil,Nil,Kept,28.16,28.16,28.16,Budget,25541,28.16 ARS
79,SAMS-00000080,24-12-2024,Argentina,South America,Córdoba,Samsung Galaxy Watch 5 Pro,Galaxy Watch,Nil,Cream,No,366.5,0,2,366.5,907.0,664831.0,Carrier Store,Gift Card,Government,45–54,Nil,Nil,Returned,733.0,733.0,733.0,Mid-range,664831,733.0 ARS
80,SAMS-00000081,17-01-2021,Argentina,South America,La Plata,Samsung Galaxy A34 5G,Galaxy A,256 GB,Awesome Violet,Yes,371.01,10,2,333.91,907.0,605712.74,Corporate / B2B,BNPL (Buy Now Pay Later),Individual,25–34,New User,3.0,Kept,742.02,667.82,742.02,Mid-range,605712,667.82 ARS
81,SAMS-00000082,24-02-2021,Argentina,South America,La Plata,Samsung Galaxy S23 Ultra,Galaxy S,128 GB,Lime,Yes,1306.91,5,2,1241.56,907.0,2252189.84,Corporate / B2B,EMI / Installment,Government,18–24,Feature Phone,4.6,Kept,2613.82,2483.12,2613.82,Premium,2252189,2483.12 ARS
82,SAMS-00000083,26-02-2021,Argentina,South America,La Plata,Samsung S Pen (Galaxy S24 Ultra),Accessories,Nil,Silver,Yes,50.36,7,4,46.83,907.0,169899.24,Samsung Store,Credit Card,Enterprise,45–54,Nil,Nil,Kept,201.44,187.32,201.44,Budget,169899,187.32 ARS
83,SAMS-00000084,04-05-2021,Argentina,South America,La Plata,Samsung Galaxy S22 Ultra,Galaxy S,1 TB,Titanium Violet,Yes,1157.04,15,3,983.48,907.0,2676049.08,Corporate / B2B,EMI / Installment,Individual,25–34,Android (Other),3.8,Kept,3471.12,2950.44,3471.12,Premium,2676049,2950.44 ARS
84,SAMS-00000085,01-06-2021,Argentina,South America,La Plata,Samsung WindFree AC 1.5 Ton,Appliances,Nil,Black,No,776.3,0,1,776.3,907.0,704104.1,Carrier Store,EMI / Installment,Individual,18–24,Nil,Nil,Kept,776.3,776.3,776.3,Upper Mid-range,704104,776.3 ARS
85,SAMS-00000086,27-12-2021,Argentina,South America,La Plata,Samsung Galaxy S24,Galaxy S,1 TB,Titanium Black,Yes,812.29,20,2,649.83,907.0,1178791.62,Carrier Store,Credit Card,Business,35–44,iOS,Nil,Kept,1624.58,1299.66,1624.58,Upper Mid-range,1178791,1299.66 ARS
